g1_1,g1_2,g1_3,g1_4,g1_5,g1_6,g1_7,g1_8,g1_9,g1_10,g1_11,g1_12,g1_13,g1_14,g1_15,g1_16,g1_17,g1_18,g1_19,g1_20,g1_21,g2_1,g2_2,g2_3,g2_4,g2_5,g2_6,g2_7,g2_8,g2_9,g2_10,g2_11,g2_12,g2_13,g2_14,g2_15,g2_16,g2_17,g2_18,g2_19,g2_20,g2_21,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,class
1.33,3,2,5,16,3,2,4,4,1,0,1,2.665136825,2.611561972,8.7184,3.0928,0.9632,0.9184,0.004302874,0.003135395,0.35474399,8.5,4,3,7,10,1,0,2,2,1,0,1,2.79760375,2.56983075,2.1968,0.52,0.288,0.004302874,0.00381048,0.333738454,5,1.61,5,-3,2,0,0,0,0,0.205946587,0,-2,-2,1,0,4,3,1,-1,0,-0.132466925,0.041731222,0.6752,0.3984,0,2.136,0.896,0.021005536,2.3,1
2,19,8,27,13,15,12,12,24,3,-12,-9,2.856496395,2.911251552,12.62076226,3.637573413,0.927573671,1.520281673,0.471776463,0.001064766,0.288221372,4,14,10,24,15,15,22,11,24,-7,-13,-20,2.232305511,2.013818462,3.891849538,1.221108948,1.367145362,0.486752256,0.000356206,0.346033265,3.2,2.5,-1,1,0,0,0,1,0,3.630283425,9,-6,3,-9,1,-10,9,16,-5,11,0.624190884,0.897433091,-0.439571691,0.299172725,0,1.373723533,-0.254276125,-0.057811894,1.53,2
1.8,4,6,10,6,3,3,5,5,0,0,0,2.806137137,2.78649091,8.7714816,5.2315904,0.6598656,0.9902848,0.01050866,0.009279014,0.596431782,4.75,5,3,8,13,7,6,2,5,1,-3,-2,2.600060792,2.567503495,5.4044288,1.0770688,1.3371136,0.010767209,0.007409443,0.532999647,3.5,2.05,4,-1,3,1,0,0,0,0,1,1,2,-2,1,-1,-2,3,-1,2,0.206076345,0.218987415,-0.677248,-0.086784,0,-1.3681664,-0.1728384,0.063432135,1.71,1
1.25,6,9,15,2,6,2,7,4,4,3,7,3.479531648,3.253575347,16.7377152,5.9165696,1.2105344,1.12,0.008385511,0.01105359,0.353487291,13,2,1,3,19,5,7,0,4,-2,-4,-6,2.168329507,2.30841771,2.6527872,0.6648576,1.3143296,0.010955771,0.00416933,0.340020574,7,1.41,13,-3,10,0,1,0,0,1.600800781,5,7,12,2,2,0,-1,8,5,13,1.311202142,0.945157637,-0.1037952,0.4551424,0,8.935872,3.2637824,0.013466717,2.85,1
1.25,33,28,61,4,31,12,34,22,19,12,31,4.825750763,4.894896314,19.62983394,6.272953346,1.845842813,1.590143686,0.020115794,0.58860497,0.319562222,11,28,15,43,11,23,16,19,24,7,-5,2,3.747190074,3.794524235,4.094130918,0.857437751,1.395597837,0.446839613,0.017509705,0.320796934,6.5,1.46,9,-4,5,0,1,0,0,2.970352495,18,0,18,7,-7,18,-1,24,5,29,1.078560689,1.100372079,0.450244975,0.732705935,0,6.867458489,2.178822428,-0.001234713,2.66,1
2.5,5,0,5,20,8,8,6,13,0,-7,-7,2.135065681,2.339217484,10.20581919,5.887202611,1.346134323,2.227522355,0.025317739,0.005169393,0.57684763,2.5,3,5,8,15,8,10,7,9,-2,-2,-4,2.43910514,2.607173428,5.004763853,0.747446272,1.62396713,0.02612141,0.00848038,0.507656418,3.3,1.95,1,1,2,0,0,1,0,1.744323041,0,-3,-3,-1,1,-4,5,2,-5,-3,-0.304039459,-0.267955944,-0.277832806,1.480076083,0,0.347254067,0.882438758,0.069191212,1.75,1
1.727,8,10,18,7,11,9,7,4,2,3,5,3.479991213,2.958874883,10.10966886,5.757085901,1.94460201,1.173410304,0.031216591,0.022708863,0.56946335,4.333,10,1,11,16,6,4,1,7,2,-6,-4,2.634537853,2.601535138,5.228204339,0.584172032,0.913109422,0.034047455,0.008026554,0.447425028,3.25,1.85,-1,5,4,1,0,0,0,1.361028077,7,0,7,4,8,3,-2,8,1,9,0.84545336,0.357339744,1.031492588,0.589238272,0,-1.57542699,0.528881562,0.122038322,1.75,0
3.2,12,10,22,18,11,21,8,16,-10,-8,-18,2.359039432,2.389468737,8.320011411,4.934336047,0.792068101,1.574599269,0.375311099,0.026649097,0.593068423,2.3,19,6,25,17,16,13,9,26,3,-17,-14,2.78029072,2.60044814,6.045460957,1.040790584,1.556162271,0.375311099,0.021068,0.519317929,3.25,2.04,-3,-3,-6,0,0,1,0,1.292412737,6,-9,-3,-15,12,-5,0,7,-11,-4,-0.421251288,-0.210979403,-0.764094171,0.533808686,0,-3.321144461,-1.11112491,0.073750494,1.74,2
3.5,4,7,11,16,8,10,13,16,-2,-3,-5,2.451659186,2.617569312,12.3100347,3.989596901,1.890357576,2.674007459,0.056134763,0.007597014,0.324093067,2.3,12,5,17,12,7,5,6,7,2,-1,1,3.098917835,2.848418632,4.704886777,0.827973829,0.731521561,0.054407678,0.01323355,0.358750795,3.3,2.03,-2,3,1,0,0,1,0,1.395360207,-1,-5,-6,1,4,8,9,-1,-5,-6,-0.647258649,-0.23084932,1.158836014,1.846033629,0,-0.804603204,-0.715289876,-0.034657728,1.79,1
1.8,3,5,8,12,8,7,6,5,1,1,2,2.815781304,2.681315001,8.4672,5.597568,1.51232,1.472576,0.008160317,0.005946217,0.661088435,4,4,7,11,10,5,4,8,5,1,3,4,3.092039295,2.767566382,4.938624,1.561728,0.952832,0.007936761,0.005461674,0.586265318,3.4,1.79,4,-1,3,1,0,0,0,3.196923332,-4,1,-3,3,-1,2,0,-2,0,-2,-0.276257991,-0.086251381,0.559488,-0.089152,0,0.043328,0.658944,0.074823117,1.9,2
4,18,15,33,7,17,9,12,14,8,-2,6,4.180737009,3.532897259,16.32968516,5.452257654,2.233641545,0.90656896,0.083279275,0.119432968,0.333886269,2,20,19,39,3,16,6,20,12,10,8,18,4.897480635,4.518974636,5.412953371,1.890871162,1.203673149,0.041012069,0.161217644,0.35774946,3.7,1.74,-5,12,7,0,0,0,1,3.740259591,-1,-5,-6,5,-11,6,-2,0,-12,-12,-0.716743626,-0.986077376,1.029968396,-0.984302202,0,1.199114823,0.039304284,-0.023863191,2.06,2
2.25,20,8,28,14,12,11,9,32,1,-23,-22,2.413647613,2.361230677,12.49190992,3.878749827,0.627434438,1.525179385,0.646456092,0.001459006,0.310500944,3.6,24,6,30,15,18,14,10,28,4,-18,-14,3.020485712,2.754845887,3.58836666,0.982125857,1.224887663,0.657777278,0.001023016,0.394406714,3.3,2.34,1,2,3,0,0,0,0,3.503400984,14,-16,-2,-16,1,-5,14,19,-27,-8,-0.606838099,-0.39361521,-0.597453224,0.543053528,0,3.393772049,0.290383166,-0.08390577,1.58,0
5,6,3,9,9,5,3,1,2,2,-1,1,2.860035867,2.656680296,10.784576,3.929408,0.7552,0.572992,0.007507854,0.006409333,0.364354426,1.67,7,4,11,7,6,1,6,10,5,-4,1,2.905347617,2.711932693,5.44064,1.448128,1.396608,0.007746179,0.007226503,0.337406877,3.8,1.68,2,11,13,0,0,0,1,2.044398343,2,-4,-2,-5,-3,0,-4,6,-6,0,-0.04531175,-0.055252397,-0.641408,-0.875136,0,-5.340288,-1.511232,0.026947549,2.18,0
5,1,0,1,17,0,0,0,4,0,-4,-4,2.276665326,2.423533065,3.896,1.888,0,0.656,0.003088715,0.002579912,0.484599589,1.66,3,6,9,7,1,0,4,0,1,4,5,3.113833266,2.715566653,3.56,0.816,0,0.002993686,0.002579912,0.53808948,3.6,1.88,-8,9,1,0,0,0,1,1.654141411,-5,-3,-8,0,-4,0,3,-4,-5,-9,-0.83716794,-0.292033588,0,-0.16,0,-2.72,-1.672,-0.053489891,1.82,2
2.7,11,10,21,12,13,11,8,8,2,0,2,3.040879327,3.061626501,14.69020903,4.225587276,0.916755921,1.147999395,0.088281719,0.060204992,0.287646504,2.8,16,10,26,6,15,7,11,7,8,4,12,3.795730369,3.604348686,6.200897191,1.551997054,0.991861386,0.066870324,0.086293586,0.418502991,3.4,2,0,6,6,1,0,1,0,1.497620789,1,-6,-5,6,0,1,-7,-2,-8,-10,-0.754851043,-0.542722185,-0.075105466,-0.403997659,0,-0.126643716,-1.975309915,-0.130856487,1.8,2
2.3,10,9,19,15,12,16,7,17,-4,-10,-14,2.433579257,2.276205288,12.25697074,6.479131364,0.791635528,0.948347646,0.263012017,0.003088715,0.528607884,2.7,20,11,31,7,17,12,7,19,5,-12,-7,3.183647963,2.94077906,4.987139582,1.156935154,1.221879092,0.114304551,0.05502322,0.534111282,3.2,2.05,3,3,6,0,0,0,0,3.377275915,-1,-11,-12,-7,9,-5,0,8,-15,-7,-0.750068706,-0.664573772,-0.430243564,-0.208587508,0,2.919703863,1.491991782,-0.005503398,1.65,1
1.25,34,20,54,2,29,3,17,8,26,9,35,5,4.843204182,18.39498404,10.90612649,2.579040985,0.402371853,0.013342437,0.358796465,0.59288589,13,15,22,37,9,14,9,20,14,5,6,11,4.254505514,4.061178725,7.514365874,1.279558289,1.045036146,0.190033377,0.050792834,0.535151166,5.5,1.67,7,0,7,0,1,0,0,2.935620742,12,5,17,15,-17,8,-6,20,4,24,0.745494486,0.782025457,1.534004839,-0.877186436,0,4.353407834,3.391760615,0.057734725,2.08,1
2.9,17,20,37,16,17,22,18,20,-5,-2,-7,3.167379734,3.105850161,12.63484964,4.418991789,1.124974349,1.479825678,0.855345327,0.001930454,0.34974629,2.6,16,24,40,14,29,28,23,15,1,8,9,3.828729357,3.84217976,4.846118471,0.960928964,1.09085588,0.706648278,0.00381048,0.39941333,3.4,1.97,-3,1,-2,0,0,0,0,3.530307007,-7,4,-3,2,-1,-10,-9,-13,-3,-16,-0.661349623,-0.7363296,0.034118469,0.518896713,0,0.501758167,-0.427126682,-0.04966704,1.83,0
2.375,0,0,0,20,0,0,1,5,0,-4,-4,2.28,2.456,1.6,1,0.2,1,0.001533811,0.001466319,0.625,2.7,0,0,0,11,0,3,0,0,-3,0,-3,2.33,2.466,1,0,0.6,0.001533811,0.001466319,0.5,3.25,1.85,-1,1,0,0,0,0,0,2.431669553,0,0,0,0,0,-2,5,0,-1,-1,-0.05,-0.01,-0.4,1,0,-0.4,0,0.125,1.85,2
1.8,32,19,51,9,24,15,19,27,9,-8,1,3.906866616,3.261784629,10.86808233,6.039478309,2.260903395,1.276140121,0.402971722,0.00032882,0.555707817,4.5,20,9,29,19,21,23,8,29,-2,-21,-23,2.316639378,2.392124658,3.396426411,0.520830707,1.413402948,0.927228216,1.49E-08,0.379941811,3.3,1.95,5,-1,4,0,0,0,0,2.490018192,23,-1,22,-5,7,-4,6,30,-6,24,1.590227239,0.869659971,0.847500447,0.755309413,0,1.928749211,2.643051899,0.175766007,1.79,1
4.5,28,17,45,9,16,11,17,26,5,-9,-4,3.846845642,3.818478706,10.08736842,5.894744268,1.159659014,1.56079086,0.323527157,0.038774208,0.584368888,1.83,38,16,54,7,40,13,13,19,27,-6,21,5,4.78512734,7.47648354,1.693776647,0.760859397,0.119432968,0.097295747,0.546104017,3.5,2.1,1,1,2,0,0,1,1,1.451243108,12,-21,-9,-3,-2,4,-14,11,-36,-25,-1.153154358,-0.966648634,0.398799617,-0.132985786,0,-3.603216721,-1.581739271,0.038264871,1.68,0
11,6,4,10,12,4,3,3,7,1,-4,-3,2.515266438,2.607622224,6.743455232,2.005855232,0.609462272,1.0698368,0.019567429,0.00644146,0.297452146,1.28,13,12,25,1,21,3,11,1,18,10,28,4.974660638,3.926425438,7.532858368,3.393109504,0.41437184,0.010046253,0.019841095,0.460878768,6.5,1.53,-5,8,3,0,0,0,1,1.002105616,-6,-9,-15,3,-8,0,-14,-9,-22,-31,-2.4593942,-1.318803214,0.195090432,-2.323272704,0,-9.601099776,-5.527003136,-0.163426621,2.48,2
4.5,26,8,34,18,27,16,9,31,11,-22,-11,3.005809728,2.591135566,10.17304755,5.778154093,1.340211573,1.166894869,0.882496903,1.41E-05,0.567986541,1.727,36,32,68,3,34,13,25,18,21,7,28,3.703133723,3.220147616,7.928159302,1.46746314,1.035299144,0.031373065,0.379083038,0.579401254,3.6,1.71,0,7,7,0,0,0,1,2.935620742,-6,-28,-34,9,-9,-4,-3,4,-43,-39,-0.697323996,-0.629012049,0.304912429,-0.300568271,0,-3.510318259,-2.150005209,-0.011414712,2,1
1.57,27,21,48,5,28,11,21,18,17,3,20,5,4.612793038,13.00171493,5.250671886,2.134434597,0.976775348,0.08700362,0.17728441,0.403844563,6,16,12,28,13,19,18,14,19,1,-5,-4,2.967056411,2.958744358,3.152555535,0.808704953,1.089121317,0.500671263,0.002357862,0.260865267,4.5,1.74,13,-1,12,0,1,1,0,3.42285449,15,5,20,9,-3,3,-1,22,2,24,2.032943589,1.65404868,1.04531328,0.168070395,1,0.916719615,2.098116351,0.142979296,2.08,1
1.4,26,32,58,3,23,8,25,8,15,17,32,5,4.914804921,17.36531223,10.44532993,1.151562968,0.614139833,0.035967523,0.522045777,0.601505449,9,27,8,35,12,30,12,15,24,18,-9,9,4.120119837,3.832338465,6.066626119,1.070856465,0.848996359,0.611521261,0.007409443,0.470620945,4.5,1.95,8,0,8,0,1,1,0,2.835859312,18,5,23,-1,-7,13,-22,24,-1,23,0.879880163,1.082466456,0.302566609,-0.456716632,1,4.474627731,4.378703812,0.130884504,1.81,1
2.1,5,7,12,12,5,5,5,3,0,2,2,2.989496983,2.680667223,9.011072,5.2755584,1.2043008,0.776192,0.014714985,0.00814786,0.585452918,3,9,4,13,5,6,6,5,6,0,-1,-1,2.870832417,2.858274783,3.4814976,0.95449088,1.48900608,0.013167547,0.011678567,0.38576267,3.25,1.75,-3,4,1,1,0,0,0,3.223252124,1,-2,-1,-1,0,-1,-3,1,2,3,0.118664566,-0.17760756,-0.28470528,-0.17829888,0,-0.0139008,1.7940608,0.199690249,1.85,2
1.25,21,19,40,6,21,8,20,12,13,8,21,4.836647227,4.226928895,15.20329077,5.834779298,2.47419447,1.073057404,0.101929669,0.012216106,0.383783971,10,14,7,21,18,12,15,12,24,-3,-12,-15,2.423219009,2.201655398,4.314633465,1.699190572,1.646146715,0.274202364,1.74E-05,0.392113743,6,1.55,6,-1,5,0,1,0,0,0.127199198,14,5,19,-3,-4,5,0,25,11,36,2.413428218,2.025273497,0.828047754,-0.626133168,0,4.199765529,1.520145833,-0.008329772,2.43,0
7,4,7,11,15,5,6,5,6,-1,-1,-2,2.717413998,2.535869247,7.740141507,2.634393334,0.836989768,0.804882862,0.034047455,0.01105359,0.340354673,1.57,15,10,25,4,18,3,8,6,15,2,17,4.399177776,3.521901889,6.245836001,2.63665494,0.433670062,0.020650825,0.033877642,0.407245703,4,1.93,-3,6,3,0,0,0,0,0,-6,-8,-14,-1,-2,2,-12,-3,-16,-19,-1.681763779,-0.986032642,0.403319706,-1.831772078,0,-7.596634194,-3.611442668,-0.06689103,1.88,2
2,19,9,28,18,25,26,15,31,-1,-16,-17,2.594232749,2.67664259,12.55537117,6.378487735,0.97678806,1.931552732,0.923116346,1.47E-05,0.508028608,3.8,31,7,38,13,30,17,14,34,13,-20,-7,3.420626086,3.027241072,6.154071871,1.538348874,1.363063614,0.739173786,0.000459671,0.626379441,3.4,1.96,7,0,7,0,0,0,0,3.671399731,12,-22,-10,-9,12,-2,1,19,-29,-10,-0.826393337,-0.350598482,-0.386275554,0.393203858,0,2.730540609,0.224415863,-0.118350833,1.79,1
1.4,35,32,67,4,43,22,24,14,21,10,31,5,4.923847652,13.92162925,9.48717514,1.447501012,0.560968698,0.079162704,0.109700649,0.681470176,8,17,18,35,18,24,37,20,30,-13,-10,-23,2.560982055,2.391269592,8.193007613,1.568905504,1.963839814,0.964399164,3.71E-06,0.653933162,5.5,1.44,6,-4,2,0,1,0,0,3.232584764,17,15,32,13,2,-13,-10,31,23,54,2.439017945,2.532578061,-0.516338802,-1.007936806,0,1.392814243,1.294167527,0.027537014,2.67,1
1.44,16,2,18,9,13,3,1,12,10,-11,-1,3.029799761,2.921510819,15.0690902,6.971235469,0.869777618,1.03882542,0.047352347,0.021068,0.462618206,8.5,15,1,16,14,7,1,3,14,6,-11,-5,2.693919914,2.517807645,6.289220048,0.92729858,0.91040176,0.054407678,0.011108997,0.484134392,3.75,1.98,10,3,13,0,1,0,0,0.762323236,15,-13,2,-1,0,0,5,21,-17,4,0.335879847,0.403703174,-0.040624142,0.111526839,0,2.078440999,0.68201542,-0.021516186,1.77,1
2.55,27,30,57,7,21,11,25,13,10,12,22,5,4.705534494,17.74883876,6.385885035,1.693923922,0.474345027,0.10592754,0.086293586,0.359791709,2.8,39,33,72,1,39,11,23,13,28,10,38,5,4.956439222,5.549895638,1.883240967,1.085920195,0.002284049,0.782704538,0.382350188,3.2,2.24,5,9,14,1,0,0,0,2.887398491,-6,-9,-15,8,-12,14,-26,0,-16,-16,0,-0.250904729,0.608003728,-1.40889594,0,3.233622579,0.835989397,-0.022558479,1.65,1
2.5,3,4,7,11,2,5,3,3,-3,0,-3,2.527542158,2.639422236,8.111808,3.968384,0.494912,1.201536,0.007936761,0.005946217,0.48921079,2.88,7,5,12,5,5,2,2,1,3,1,4,3.034079726,2.747383067,5.870336,1.04672,0.4624,0.007507854,0.006409333,0.538985421,3.25,2.06,-1,0,-1,0,0,0,0,2.438900631,-2,-3,-5,1,3,1,-2,-4,-3,-7,-0.506537569,-0.10796083,0.032512,0.154816,0,-2.779648,-1.901952,-0.049774631,1.73,2
4.5,16,10,26,6,11,6,7,8,5,-1,4,3.514698412,3.242064558,10.40921277,5.69213513,1.191334075,1.02554788,0.116225591,0.045730034,0.546836274,1.72,23,19,42,2,16,6,18,6,10,12,22,4.890014327,4.47941218,7.113570453,1.715554812,0.497299201,0.026204987,0.163654137,0.604363099,3.6,1.91,2,8,10,1,0,0,1,1.437436623,-3,-13,-16,5,-12,1,-8,-7,-11,-18,-1.375315914,-1.237347622,0.694034873,-0.690006932,-1,-1.36114592,-1.421435323,-0.057526825,1.8,2
2.54,19,11,30,13,15,20,10,30,-5,-20,-25,2.139520822,2.14432144,8.640639507,3.309101727,1.053633464,1.816956905,0.716133348,2.91E-05,0.382969539,3.2,20,10,30,19,15,19,10,23,-4,-13,-17,2.862554211,2.445359485,3.622123194,1.690946592,1.510539281,0.726149037,7.21E-06,0.412606525,3.1,2.52,0,1,1,0,0,0,0,2.956835348,9,-9,0,-8,10,-9,15,8,-16,-8,-0.723033389,-0.301038044,-0.456905817,0.126010313,0,-0.137998189,-0.313021467,-0.029636986,1.53,0
15,19,8,27,19,16,21,12,33,-5,-21,-26,1.995081496,1.942855273,10.86473102,3.459516056,0.678542454,1.113871676,0.723632059,4.44E-06,0.318417092,1.25,43,35,78,1,51,10,32,10,41,22,63,5,4.971428021,6.563423987,2.516819275,0.611376562,0.000338787,0.726149037,0.416945935,6.5,1.49,-1,7,6,0,0,0,1,0.495274094,-16,-35,-51,6,-11,2,-18,-27,-62,-89,-3.004918504,-3.028572747,0.067165892,-1.402947599,0,-4.876935782,-3.103907931,-0.098528843,2.58,2
2.1,7,3,10,17,6,6,4,10,0,-6,-6,2.45622827,2.549819625,9.456159437,3.913942651,0.628025262,1.344453468,0.034047455,0.01105359,0.413904046,3.75,9,3,12,15,6,5,6,9,1,-3,-2,2.549007447,2.530515952,4.690620355,0.974574428,1.062828483,0.033929439,0.012778388,0.525230346,3.2,2.25,0,1,1,0,0,0,0,0.597715643,4,-6,-2,-3,0,-1,4,3,-7,-4,-0.092779177,0.019303673,-0.43480322,0.36987904,0,0.525562819,-0.776677704,-0.1113263,1.61,1
2.1,3,3,6,2,2,1,3,2,1,1,2,2.825934941,2.651026988,6.696,3.624,0.736,0.488,0.002831905,0.003088715,0.541218638,3.5,1,4,5,9,1,1,3,2,0,1,1,2.682546747,2.586909349,2.552,0.616,0.488,0.003078009,0.002579912,0.614643545,3.2,2.09,2,-2,0,1,0,1,0,0.558282791,-1,2,1,0,-2,2,1,0,1,1,0.143388194,0.064117639,0.248,-0.128,0,2.544,1.072,-0.073424907,1.66,0
8,27,10,37,10,22,12,6,14,10,-8,2,3.807286896,3.599748928,12.18657541,6.514408501,1.195183262,1.070418625,0.640824276,0.005946217,0.534556123,1.44,37,28,65,1,31,9,18,9,22,9,31,4.726867289,4.857297854,8.79188716,1.422309228,1.290448706,0.008066787,0.726149037,0.617014449,4.2,1.97,-5,10,5,0,0,0,1,2.869863379,-1,-27,-28,13,-6,-3,-17,1,-30,-29,-0.919580392,-1.257548926,-0.095265443,-0.351890604,0,-2.062502819,-2.277478658,-0.082458327,1.78,1
3.8,7,6,13,12,8,11,6,9,-3,-3,-6,2.50199531,2.667057068,10.58245646,4.411846869,0.934963937,1.841929728,0.043330917,0.008695062,0.416901963,1.9,11,3,14,14,11,5,7,12,6,-5,1,2.819034198,2.831937442,3.483020136,1.103271105,1.288635552,0.043330917,0.008695062,0.331505772,3.6,1.53,-1,6,5,0,0,0,0,0.127199198,4,-5,-1,-4,4,1,-2,2,-9,-7,-0.317038888,-0.164880374,-0.353671614,0.738658623,0,0.075791344,0.928826733,0.08539619,2.5,2
2,0,0,0,10,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,3.3,2.17,2,-2,0,1,0,0,0,0.558282791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,2
5.25,2,10,12,6,3,9,8,3,-6,5,-1,2.779352859,2.69223661,8.7772032,2.3436672,1.2131584,1.4852864,0.009803655,0.008066787,0.267017539,1.65,12,1,13,7,11,3,0,5,8,-5,3,3.134197584,2.734254568,5.352704,1.2369152,0.5505024,0.010185343,0.007409443,0.38915778,4.33,1.55,-3,3,0,0,0,1,0,0.307846768,1,-2,-1,-2,9,5,-8,-1,-3,-4,-0.354844725,-0.042017958,0.662656,0.2483712,0,-4.9773824,-3.0090368,-0.122140241,2.41,1
1.19,18,7,25,6,15,4,8,12,11,-4,7,3.908130007,3.355830409,14.80190609,5.039275237,1.652185898,0.925622901,0.036878045,0.027323722,0.340447724,17,11,4,15,10,6,8,3,11,-2,-8,-10,2.42727862,2.581244783,1.794349266,0.583805987,1.857148723,0.05310121,0.009232735,0.227007196,7.5,1.49,2,-2,0,1,0,0,0,2.676030617,14,-4,10,4,1,0,6,19,-2,17,1.480851388,0.774585626,-0.204962825,0.341816914,0,6.897534361,3.244925972,0.113440527,2.56,1
1.45,15,14,29,4,9,1,12,11,8,1,9,3.896464462,3.727231137,11.8049047,3.326932748,1.048540737,0.818680629,0.045325346,0.105399225,0.281826311,8.5,9,5,14,18,9,10,9,18,-1,-9,-10,2.387073518,2.408215868,2.588342987,0.764018317,1.427143219,0.110250525,0.018133395,0.298164823,4.5,1.9,3,-1,2,1,1,0,0,3.696953111,10,5,15,-9,-8,2,2,17,2,19,1.509390944,1.319015269,-0.378602483,0.054662312,0,3.123991378,0.738589761,-0.016338512,1.89,2
1.8,16,10,26,15,10,9,10,19,1,-9,-8,2.085434424,2.341906316,4.4096,1.6016,0,1.0928,0.36376399,0.000399619,0.363207547,4.5,10,7,17,18,6,12,10,27,-6,-17,-23,2.333610657,2.506131477,2.976,0.128,1.16,0.344105991,2.35E-05,0.463840399,3.3,2.02,2,0,2,0,0,0,0,4.216224983,9,0,9,-17,-1,-2,13,18,-3,15,-0.248176233,-0.164225161,-1.16,0.9648,0,-2.0064,-1.3744,-0.100632852,1.73,1
2.375,1,4,5,18,1,5,1,5,-4,-4,-8,2.175578051,2.417282631,7.0890496,3.5615744,0.18432,1.431936,0.011108997,0.005407329,0.502405061,2.75,9,0,9,15,6,3,0,5,3,-5,-2,2.714426884,2.560067861,4.189952,0.93792,1.1003648,0.011108997,0.006066339,0.46031871,3,2.18,-3,2,-1,0,0,0,0,2.455947858,1,-5,-4,-4,5,-2,-1,1,-7,-6,-0.538848833,-0.142785229,-0.9160448,0.494016,0,-2.0132352,-0.6283776,0.042086351,1.6,1
2.7,9,1,10,14,7,7,3,9,0,-6,-6,2.472883775,2.486305527,11.86586112,4.952795341,1.078776832,1.58439168,0.02576112,0.00848038,0.417398728,2.6,10,2,12,12,10,4,6,11,6,-5,1,2.820148704,2.843257702,3.379718963,1.161361101,1.45099305,0.025317739,0.011220644,0.33448773,3.4,1.72,-2,7,5,0,0,0,0,3.432563319,7,-9,-2,-4,1,-1,-1,5,-12,-7,-0.347264928,-0.356952175,-0.372216218,0.423030579,0,1.76169687,1.573076378,0.082910998,2.1,0
2.4,17,6,23,20,19,27,6,27,-8,-21,-29,2.447226066,2.549936441,9.390157824,5.050550272,0.647849984,1.579776,0.612541313,7.01E-05,0.537855739,3,20,13,33,11,15,18,16,25,-3,-9,-12,2.632679708,2.616715366,6.228097536,0.8342656,1.579587072,0.665773634,0.004339483,0.629773122,3.3,1.99,2,2,4,0,0,0,0,1.214363022,4,-14,-10,-6,11,-12,12,1,-18,-17,-0.185453642,-0.066778925,-0.931737088,0.7455104,0,-0.499272704,-1.177547264,-0.091917383,1.77,0
4,4,13,17,6,8,8,12,4,0,8,8,3.491793244,3.093405695,14.43762586,4.006402048,2.007586304,1.17200128,0.017509705,0.018315639,0.27749729,1.95,7,4,11,16,8,7,6,10,1,-4,-3,2.634554074,2.498854974,3.551100416,1.392651264,1.410627584,0.019841095,0.012034232,0.290871216,3.8,1.72,-4,8,4,1,0,0,1,0.235973271,0,6,6,-2,2,5,-4,4,7,11,0.85723917,0.594550721,0.59695872,-0.220649984,-1,2.229128704,0.455301632,-0.013373926,2.1,1
1.4,0,0,0,10,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,9.5,0,0,0,10,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,5,1.79,6,0,6,0,0,0,0,0.90135785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,1
1.14,6,6,12,8,9,3,7,6,6,1,7,3.31954253,2.838655619,15.466176,9.842368,2.119616,1.094272,0.007507854,0.006839778,0.636380189,23,3,1,4,16,2,6,3,7,-4,-4,-8,2.149435976,2.330543054,4.794048,0.537856,1.508672,0.008188701,0.00447164,0.663551485,7.5,1.5,3,2,5,1,1,0,0,2.612148033,5,3,8,2,0,1,4,10,5,15,1.170106554,0.508112565,0.610944,0.556416,0,8.241344,5.04832,-0.027171296,2.48,1
1.83,24,16,40,9,24,20,16,19,4,-3,1,3.911369315,3.474295029,14.47868436,9.185090686,1.702884973,1.277188357,0.717626848,0.055576213,0.634387107,4.33,23,10,33,13,22,17,15,34,5,-19,-14,3.038634238,2.923966484,6.178993054,1.486903205,1.649627682,0.771908786,0.020445346,0.555671432,3.6,1.88,4,1,5,0,0,1,0,1.426319213,14,-7,7,-10,5,-1,-3,23,-8,15,0.872735076,0.550328545,0.053257291,-0.209714849,0,3.358816227,3.006097633,0.078715675,1.9,0
2.25,27,14,41,14,31,26,19,37,5,-18,-13,3.34988392,3.105679867,12.53878702,4.883230387,1.544168682,1.444608822,0.927228216,0.00032882,0.389449983,3.3,27,13,40,12,23,20,14,30,3,-16,-13,3.103364255,3.124414878,3.397111012,0.729612212,1.189520988,0.898700403,0.000488095,0.282999011,3.6,1.73,0,-1,-1,0,0,0,0,2.278153356,14,-13,1,1,12,-1,14,21,-21,0,0.246519664,-0.018735011,0.354647694,0.71499661,0,0.534819214,1.486119376,0.106450972,2.11,0
